title,maingenre,popularity,budgetM,revenueM,profitM,release_date,runtime,vote_average,vote_count,Collection
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,Action,5.191425,6,30,24,6/3/1965,138,6.4,40,
The Lord of the Rings,Fantasy,7.914795,4,30,26,11/15/1978,132,6.1,187,The Lord of the Rings Animated Collection
Shaun of the Dead,Horror,14.902948,4,30,26,4/9/2004,99,7.5,2479,
Serpico,Crime,12.842165,3,30,27,12/5/1973,129,7.5,429,
A Nightmare on Elm Street Part 2: Freddy's Revenge,Horror,8.668146,3,30,27,10/31/1985,87,5.7,367,A Nightmare on Elm Street Collection
Bob & Carol & Ted & Alice,Comedy,1.81433,2,30,28,9/17/1969,101,6.2,20,
The Out-of-Towners,Comedy,9.019881,75,29,-46,4/2/1999,90,5.1,46,
Drive Angry,Fantasy,7.668829,50,29,-21,2/24/2011,105,5.3,608,
Shorts,Comedy,4.021983,40,29,-11,8/21/2009,89,5.1,46,
James and the Giant Peach,Adventure,13.217623,38,29,-9,4/12/1996,79,6.2,375,
The Pledge,Crime,12.806634,35,29,-6,1/9/2001,123,6.6,221,
The Frighteners,Horror,12.09096,30,29,-1,7/18/1996,110,6.7,413,
Bulworth,Comedy,3.385342,30,29,-1,5/15/1998,108,6.3,66,
My Way,Drama,7.847574,28,29,1,3/14/2012,148,6.2,85,
Case 39,Horror,9.644085,27,29,2,8/13/2009,109,6.1,580,
Boiler Room,Crime,8.518425,26,29,3,2/18/2000,118,6.5,202,
Agent Cody Banks 2: Destination London,Comedy,12.59201,26,29,3,6/24/2004,100,5.2,145,Agent Cody Banks Collection
Draft Day,Drama,5.596449,25,29,4,4/11/2014,109,6.5,309,
Masterminds,Action,9.434588,25,29,4,9/29/2016,94,5.6,600,
Nocturnal Animals,Drama,18.908782,23,29,6,11/4/2016,116,7.2,1990,
Starman,Action,9.763928,22,29,7,12/13/1984,115,6.6,219,
Yu-Gi-Oh! The Movie,,5.946085,20,29,9,8/13/2004,90,5.4,71,
Fan,Action,5.127876,16,29,13,4/15/2016,142,6.2,73,
Baby Boy,Crime,9.503157,16,29,13,6/27/2001,130,7.3,57,
The Last Starfighter,Adventure,5.984133,15,29,14,7/13/1984,101,6.5,225,
Confessions of a Teenage Drama Queen,Comedy,7.423275,15,29,14,2/17/2004,89,5.1,228,
Far from Heaven,Drama,10.107519,14,29,15,9/1/2002,107,6.9,145,
Wrong Turn,Horror,14.079718,13,29,16,5/30/2003,84,6,652,Wrong Turn Collection
A Few Best Men,Comedy,6.116093,12,29,17,10/14/2011,97,5.9,137,A Few Best Men Collection
Big Eyes,Drama,7.412826,10,29,19,12/24/2014,105,6.8,1236,
Twilight Zone: The Movie,Drama,5.836054,10,29,19,6/24/1983,101,6.2,164,
A Low Down Dirty Shame,Action,3.021526,10,29,19,11/23/1994,100,6,31,
The Rose,Drama,2.132964,9,29,20,11/7/1979,125,6.8,28,
Hoosiers,Drama,6.484495,9,29,20,11/14/1986,114,7.1,143,
New in Town,Comedy,12.357072,8,29,21,1/30/2009,97,5.2,99,
Veer-Zaara,Drama,3.319516,7,29,22,11/12/2004,192,7.5,67,
The Guns of Navarone,Action,8.522673,6,29,23,4/27/1961,158,7.3,191,Navarone Collection
Raising Arizona,Comedy,14.011415,6,29,23,3/1/1987,94,7.2,548,
La v̩rit̩ si je mens !,Comedy,5.099557,4,29,25,4/1/1997,100,6.3,98,Would I Lie to You? Collection
The Last Picture Show,Drama,5.961382,1,29,28,10/3/1971,118,7.6,133,The Last Picture Show Collection
The Last Castle,Action,9.807552,72,28,-44,10/19/2001,131,7,290,
