title,maingenre,popularity,budgetM,revenueM,profitM,release_date,runtime,vote_average,vote_count,Collection
Avatar,Action,185.070892,237,2788,2551,12/10/2009,162,7.2,12114,Avatar Collection
Star Wars: The Force Awakens,Action,31.626013,245,2068,1823,12/15/2015,136,7.5,7993,Star Wars Collection
Titanic,Drama,26.88907,200,1845,1645,11/18/1997,194,7.5,7770,
The Avengers,Science Fiction,89.887648,220,1520,1300,4/25/2012,143,7.4,12000,The Avengers Collection
Jurassic World,Action,32.790475,150,1514,1364,6/9/2015,124,6.5,8842,Jurassic Park Collection
Furious 7,Action,27.275687,190,1506,1316,4/1/2015,137,7.3,4253,The Fast and the Furious Collection
Avengers: Age of Ultron,Action,37.37942,280,1405,1125,4/22/2015,141,7.3,6908,The Avengers Collection
Harry Potter and the Deathly Hallows: Part 2,Family,24.990737,125,1342,1217,7/7/2011,130,7.9,6141,Harry Potter Collection
Frozen,Animation,24.248243,150,1274,1124,11/27/2013,102,7.3,5440,Frozen Collection
Beauty and the Beast,Family,287.253654,160,1263,1103,3/16/2017,129,6.8,5530,
The Fate of the Furious,Action,48.573287,250,1239,989,4/12/2017,136,6.8,3803,The Fast and the Furious Collection
Iron Man 3,Action,23.721243,200,1215,1015,4/18/2013,130,6.8,8951,Iron Man Collection
Minions,Family,547.488298,74,1157,1083,6/17/2015,91,6.4,4729,Despicable Me Collection
Captain America: Civil War,Adventure,145.882135,250,1153,903,4/27/2016,147,7.1,7462,Captain America Collection
Transformers: Dark of the Moon,Action,4.503505,195,1124,929,6/28/2011,154,6.1,3351,Transformers Collection
The Lord of the Rings: The Return of the King,Adventure,29.324358,94,1119,1025,12/1/2003,201,8.1,8226,The Lord of the Rings Collection
Skyfall,Action,20.309585,200,1109,909,10/25/2012,143,6.9,7718,James Bond Collection
Transformers: Age of Extinction,Science Fiction,18.495599,210,1091,881,6/25/2014,165,5.8,3136,Transformers Collection
The Dark Knight Rises,Action,20.58258,250,1085,835,7/16/2012,165,7.6,9263,The Dark Knight Collection
Toy Story 3,Animation,16.96647,200,1067,867,6/16/2010,103,7.6,4710,Toy Story Collection
Pirates of the Caribbean: Dead Man's Chest,Adventure,29.455314,200,1066,866,6/20/2006,151,7,5380,Pirates of the Caribbean Collection
Rogue One: A Star Wars Story,Action,36.567575,200,1056,856,12/14/2016,133,7.4,5111,Star Wars Collection
Pirates of the Caribbean: On Stranger Tides,Adventure,27.88772,380,1046,666,5/14/2011,136,6.4,5068,Pirates of the Caribbean Collection
Finding Dory,Adventure,14.477677,200,1029,829,6/16/2016,97,6.8,4333,Finding Nemo Collection
Alice in Wonderland,Family,17.285093,200,1025,825,3/3/2010,108,6.4,4773,Alice in Wonderland Collection
Zootopia,Animation,26.024868,150,1024,874,2/11/2016,108,7.7,4961,
The Hobbit: An Unexpected Journey,Adventure,23.253089,250,1021,771,11/26/2012,169,7,8427,The Hobbit Collection
Despicable Me 3,Action,36.631519,80,1020,940,6/15/2017,96,6.2,2002,Despicable Me Collection
The Dark Knight,Drama,123.167259,185,1005,820,7/16/2008,152,8.3,12269,The Dark Knight Collection
Harry Potter and the Philosopher's Stone,Adventure,38.187238,125,976,851,11/16/2001,152,7.5,7188,Harry Potter Collection
Despicable Me 2,Animation,24.82355,76,971,895,6/25/2013,98,7,4729,Despicable Me Collection
The Jungle Book,Family,17.432758,175,967,792,4/7/2016,106,6.7,2977,
Pirates of the Caribbean: At World's End,Adventure,31.363664,300,961,661,5/19/2007,169,6.9,4627,Pirates of the Caribbean Collection
The Hobbit: The Desolation of Smaug,Adventure,20.644776,250,958,708,12/11/2013,161,7.6,4633,The Hobbit Collection
The Hobbit: The Battle of the Five Armies,Action,31.718977,250,956,706,12/10/2014,144,7.1,4884,The Hobbit Collection
Harry Potter and the Deathly Hallows: Part 1,Adventure,23.300362,250,954,704,10/17/2010,146,7.5,5708,Harry Potter Collection
Finding Nemo,Animation,25.497794,94,940,846,5/30/2003,100,7.6,6292,Finding Nemo Collection
Harry Potter and the Order of the Phoenix,Adventure,21.3643,150,938,788,6/28/2007,138,7.4,5633,Harry Potter Collection
Harry Potter and the Half-Blood Prince,Adventure,19.083723,250,934,684,7/7/2009,153,7.4,5435,Harry Potter Collection
The Lord of the Rings: The Two Towers,Adventure,29.423537,79,926,847,12/18/2002,179,8,7641,The Lord of the Rings Collection
Star Wars: Episode I - The Phantom Menace,Adventure,15.649091,115,924,809,5/19/1999,136,6.4,4526,Star Wars Collection
Shrek 2,Adventure,16.22986,150,920,770,5/19/2004,93,6.7,3082,Shrek Collection
Jurassic Park,Adventure,8.863776,63,920,857,6/11/1993,127,7.6,4956,Jurassic Park Collection
Harry Potter and the Goblet of Fire,Adventure,24.903058,150,896,746,11/5/2005,157,7.5,5758,Harry Potter Collection
Spider-Man 3,Fantasy,27.614265,258,891,633,5/1/2007,139,5.9,3687,Spider-Man Collection
Ice Age: Dawn of the Dinosaurs,Animation,12.980624,90,887,797,6/29/2009,94,6.5,2330,Ice Age Collection
Spectre,Action,24.926577,245,881,636,10/26/2015,148,6.3,4552,James Bond Collection
Harry Potter and the Chamber of Secrets,Adventure,29.741452,100,877,777,11/13/2002,161,7.4,5966,Harry Potter Collection
Ice Age: Continental Drift,Animation,13.26958,95,877,782,6/26/2012,88,6.2,2731,Ice Age Collection
The Secret Life of Pets,Animation,11.01395,75,875,800,6/18/2016,87,5.9,3536,The Secret Life of Pets Collection
Batman v Superman: Dawn of Justice,Action,31.435879,250,873,623,3/23/2016,151,5.7,7189,Man of Steel Collection
The Lord of the Rings: The Fellowship of the Ring,Adventure,32.070725,93,871,778,12/18/2001,178,8,8892,The Lord of the Rings Collection
Guardians of the Galaxy Vol. 2,Action,185.330992,200,863,663,4/19/2017,137,7.6,4858,Guardians of the Galaxy Collection
Inside Out,Drama,23.985587,175,858,683,6/9/2015,94,7.9,6737,
Star Wars: Episode III - Revenge of the Sith,Science Fiction,13.165421,113,850,737,5/17/2005,140,7.1,4200,Star Wars Collection
The Hunger Games: Catching Fire,Adventure,25.309139,130,847,717,11/15/2013,146,7.4,6656,The Hunger Games Collection
Transformers: Revenge of the Fallen,Science Fiction,4.351756,150,836,686,6/19/2009,150,6,3192,Transformers Collection
The Twilight Saga: Breaking Dawn - Part 2,Adventure,26.080995,120,829,709,11/13/2012,115,6.1,2641,The Twilight Collection
Inception,Action,29.108149,160,826,666,7/14/2010,148,8.1,14075,
Spider-Man,Fantasy,29.413341,139,822,683,5/1/2002,121,6.8,5398,Spider-Man Collection
Wonder Woman,Action,294.337037,149,821,672,5/30/2017,141,7.2,5025,Wonder Woman Collection
Independence Day,Action,17.634197,75,817,742,6/25/1996,145,6.7,3334,Independence Day Collection
Fantastic Beasts and Where to Find Them,Adventure,41.051421,180,809,629,11/16/2016,133,7.2,5612,Fantastic Beasts Collection
Shrek the Third,Fantasy,14.072479,160,799,639,5/17/2007,93,6,2355,Shrek Collection
Pirates of the Caribbean: Dead Men Tell No Tales,Adventure,133.82782,230,794,564,5/23/2017,129,6.6,2814,Pirates of the Caribbean Collection
E.T. the Extra-Terrestrial,Science Fiction,19.358546,11,793,782,4/3/1982,115,7.3,3359,
Harry Potter and the Prisoner of Azkaban,Adventure,28.460276,130,790,660,5/31/2004,141,7.7,6037,Harry Potter Collection
Fast & Furious 6,Action,1.657637,160,789,629,5/6/2013,130,6.7,5282,The Fast and the Furious Collection
The Lion King,Family,21.605761,45,788,743,6/23/1994,89,8,5520,The Lion King Collection
Indiana Jones and the Kingdom of the Crystal Skull,Adventure,12.577266,185,787,602,5/21/2008,122,5.7,2558,Indiana Jones Collection
Spider-Man 2,Action,10.834506,200,784,584,6/25/2004,127,6.7,4432,Spider-Man Collection
Deadpool,Action,187.860492,58,783,725,2/9/2016,108,7.4,11444,Deadpool Collection
Star Wars,Adventure,42.149697,11,775,764,5/25/1977,121,8.1,6778,Star Wars Collection
Guardians of the Galaxy,Action,53.291601,170,773,603,7/30/2014,121,7.9,10014,Guardians of the Galaxy Collection
2012,Action,16.698628,200,770,570,10/10/2009,158,5.6,4994,
The Da Vinci Code,Thriller,18.566706,125,768,643,5/17/2006,149,6.5,2773,Robert Langdon Collection
Maleficent,Fantasy,19.467404,180,759,579,5/28/2014,97,7,4607,
Shrek Forever After,Comedy,11.803808,165,753,588,5/16/2010,93,6,2021,Shrek Collection
The Amazing Spider-Man,Action,31.102267,215,752,537,6/27/2012,136,6.5,6734,The Amazing Spider-Man Collection
The Hunger Games: Mockingjay - Part 1,Science Fiction,147.098006,125,752,627,11/18/2014,123,6.6,5767,The Hunger Games Collection
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,18.13542,180,749,569,12/7/2005,143,6.7,2709,The Chronicles of Narnia Collection
X-Men: Days of Future Past,Action,26.058586,250,748,498,5/15/2014,131,7.5,6155,X-Men Collection
Madagascar 3: Europe's Most Wanted,Animation,13.829042,145,747,602,6/6/2012,93,6.4,1857,Madagascar Collection
Suicide Squad,Action,42.965027,175,746,571,8/2/2016,123,5.9,7717,
Monsters University,Animation,16.267502,200,744,544,6/20/2013,104,7,3622,"Monsters, Inc. Collection"
The Matrix Reloaded,Adventure,16.229317,150,739,589,5/15/2003,138,6.7,3500,The Matrix Collection
Up,Animation,19.330884,175,735,560,5/13/2009,96,7.8,7048,
Gravity,Science Fiction,18.50194,105,716,611,9/27/2013,91,7.3,5879,
Captain America: The Winter Soldier,Action,18.717704,170,715,545,3/20/2014,136,7.6,5881,Captain America Collection
The Twilight Saga: Breaking Dawn - Part 1,Adventure,25.9725,110,712,602,3/15/2011,117,5.8,2622,The Twilight Collection
Dawn of the Planet of the Apes,Science Fiction,75.385211,170,711,541,6/26/2014,130,7.3,4511,Planet of the Apes (Reboot) Collection
Transformers,Adventure,5.587707,150,710,560,6/27/2007,144,6.6,4113,Transformers Collection
The Twilight Saga: New Moon,Adventure,30.121292,50,710,660,3/15/2009,130,5.6,2518,The Twilight Collection
The Amazing Spider-Man 2,Action,26.23687,200,706,506,4/16/2014,142,6.5,4274,The Amazing Spider-Man Collection
The Twilight Saga: Eclipse,Adventure,34.047399,68,698,630,6/23/2010,124,5.9,2382,The Twilight Collection
Mission: Impossible - Ghost Protocol,Action,14.25843,145,695,550,12/7/2011,133,6.8,4026,Mission: Impossible Collection
The Hunger Games,Science Fiction,20.031667,75,691,616,3/12/2012,142,6.9,9634,The Hunger Games Collection
Mission: Impossible - Rogue Nation,Action,17.836882,150,682,532,7/23/2015,131,7.1,3274,Mission: Impossible Collection
Doctor Strange,Action,43.847654,165,678,513,10/25/2016,115,7.1,5880,
Forrest Gump,Comedy,48.307194,55,678,623,7/6/1994,142,8.2,8147,
Interstellar,Adventure,32.213481,165,675,510,11/5/2014,169,8.1,11187,
The Sixth Sense,Mystery,18.449169,40,673,633,8/6/1999,107,7.7,3223,
Kung Fu Panda 2,Animation,11.481921,150,666,516,5/25/2011,91,6.7,1925,Kung Fu Panda Collection
Man of Steel,Action,18.538834,225,663,438,6/12/2013,143,6.5,6462,Man of Steel Collection
Ice Age: The Meltdown,Animation,16.646029,80,661,581,3/23/2006,91,6.5,3034,Ice Age Collection
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,47.326665,140,655,515,7/9/2003,143,7.5,7191,Pirates of the Caribbean Collection
The Hunger Games: Mockingjay - Part 2,Action,26.628178,160,653,493,11/18/2015,137,6.6,4117,The Hunger Games Collection
Big Hero 6,Adventure,213.849907,165,652,487,10/24/2014,102,7.8,6289,
Star Wars: Episode II - Attack of the Clones,Adventure,14.072511,120,649,529,5/15/2002,142,6.4,4074,Star Wars Collection
Thor: The Dark World,Action,34.905447,170,645,475,10/29/2013,112,6.8,4873,Thor Collection
Moana,Adventure,9.143457,150,643,493,11/23/2016,107,7.3,3471,
Kung Fu Panda,Adventure,16.897541,130,632,502,6/4/2008,90,6.9,3231,Kung Fu Panda Collection
Sing,Animation,20.045673,75,632,557,11/23/2016,108,6.8,2363,
The Incredibles,Action,22.220214,92,631,539,11/5/2004,115,7.4,5290,The Incredibles Collection
The Martian,Drama,25.62993,108,630,522,9/30/2015,141,7.6,7442,
Fast Five,Action,1.420361,125,626,501,4/20/2011,130,7.1,2491,The Fast and the Furious Collection
Men in Black 3,Action,10.684385,225,624,399,5/23/2012,106,6.3,4228,Men In Black Collection
Iron Man 2,Adventure,19.083344,200,624,424,4/28/2010,124,6.6,6969,Iron Man Collection
Ratatouille,Animation,20.50803,150,624,474,6/22/2007,111,7.5,4510,
Hancock,Fantasy,11.017324,150,624,474,7/1/2008,92,6.2,3050,
Logan,Action,54.581997,97,617,520,2/28/2017,137,7.6,6310,The Wolverine Collection
The Passion of the Christ,Drama,13.194168,30,612,582,2/25/2004,127,6.9,888,
Mamma Mia!,Comedy,10.534437,52,610,558,7/3/2008,108,6.4,1435,Mamma Mia! Collection
How to Train Your Dragon 2,Fantasy,12.256689,145,609,464,6/12/2014,102,7.6,3163,How to Train Your Dragon Collection
Life of Pi,Adventure,14.045042,120,609,489,11/20/2012,127,7.2,5912,
Transformers: The Last Knight,Action,39.186819,260,605,345,6/21/2017,149,6.2,1440,Transformers Collection
Madagascar: Escape 2 Africa,Family,12.668733,150,604,454,10/30/2008,89,6.2,1866,Madagascar Collection
Casino Royale,Adventure,23.065078,150,599,449,11/14/2006,144,7.3,3930,James Bond Collection
Tangled,Animation,14.684761,260,592,332,11/24/2010,100,7.4,3419,Tangled Collection
War of the Worlds,Adventure,19.929377,132,592,460,6/28/2005,116,6.2,2397,
Men in Black,Action,15.781024,90,589,499,7/2/1997,98,6.9,4521,Men In Black Collection
Quantum of Solace,Adventure,13.67812,200,586,386,10/30/2008,106,6.1,3015,James Bond Collection
I Am Legend,Drama,11.379355,150,585,435,12/14/2007,101,6.9,4977,
Iron Man,Action,22.073099,140,585,445,4/30/2008,126,7.4,8951,Iron Man Collection
The Croods,Adventure,14.757874,135,585,450,3/20/2013,98,6.8,2447,The Croods Collection
Night at the Museum,Action,16.661966,110,574,464,10/20/2006,108,6.4,2949,Night at the Museum Collection
Return of the Jedi,Adventure,14.586087,32,573,541,5/23/1983,135,7.9,4763,Star Wars Collection
Alice in Wonderland,Animation,16.488937,3,572,569,7/3/1951,75,7,1557,
Fifty Shades of Grey,Drama,33.068431,40,571,531,2/11/2015,125,5.2,3350,Fifty Shades Collection
Kong: Skull Island,Action,29.429112,185,567,382,3/8/2017,118,6.2,3161,
The Smurfs,Animation,10.219758,110,564,454,7/29/2011,103,5.5,1201,The Smurfs (Theatrical) Collection
"Monsters, Inc.",Animation,26.419962,115,563,448,11/1/2001,92,7.5,6150,"Monsters, Inc. Collection"
Cars 2,Animation,13.693002,200,560,360,6/11/2011,106,5.8,2088,Cars Collection
Armageddon,Action,13.235112,140,554,414,7/1/1998,151,6.5,2540,
The Mermaid,Comedy,5.296052,61,554,493,2/8/2016,93,6.2,76,
King Kong,Adventure,19.761164,207,550,343,12/14/2005,187,6.6,2403,
Ted,Comedy,19.638605,50,549,499,6/29/2012,106,6.3,4811,Ted Collection
Mission: Impossible II,Adventure,18.97178,125,546,421,5/24/2000,123,5.9,1966,Mission: Impossible Collection
X-Men: Apocalypse,Science Fiction,28.712522,178,544,366,5/18/2016,144,6.4,4831,X-Men Collection
The Day After Tomorrow,Action,15.049695,125,544,419,5/26/2004,124,6.2,2462,
Cinderella,Romance,19.801128,95,544,449,3/12/2015,105,6.7,2426,
Despicable Me,Animation,22.274502,69,544,475,7/8/2010,95,7.1,6595,Despicable Me Collection
American Sniper,War,19.228561,59,542,483,12/11/2014,133,7.4,4600,
Brave,Animation,15.876341,185,539,354,6/21/2012,93,6.7,4760,
The Empire Strikes Back,Adventure,19.470959,18,538,520,5/17/1980,124,8.2,5998,Star Wars Collection
The Revenant,Western,23.501228,135,533,398,12/25/2015,156,7.3,6558,
Madagascar,Family,16.136217,75,533,458,5/25/2005,86,6.6,3322,Madagascar Collection
World War Z,Action,26.114917,200,532,332,6/20/2013,116,6.7,5683,World War Z Collection
Godzilla,Action,14.019239,160,529,369,5/14/2014,123,6.1,3232,
The Simpsons Movie,Animation,14.302911,75,527,452,7/25/2007,87,6.9,2335,
Sherlock Holmes,Action,15.68604,90,524,434,12/23/2009,128,7,5883,Sherlock Holmes Collection
WALLÂ·E,Animation,16.088366,180,521,341,6/22/2008,98,7.8,6439,
Kung Fu Panda 3,Action,14.696548,145,521,376,1/23/2016,95,6.7,1630,Kung Fu Panda Collection
Terminator 2: Judgment Day,Action,22.661695,100,520,420,7/1/1991,137,7.7,4274,The Terminator Collection
Dunkirk,Action,30.938854,100,520,420,7/19/2017,107,7.5,2712,
Ant-Man,Science Fiction,26.882388,130,519,389,7/14/2015,117,7,6029,Ant-Man Collection
Meet the Fockers,Comedy,11.876386,80,517,437,12/22/2004,115,6.1,1412,Meet the Parents Collection
Ghost,Fantasy,11.945397,22,505,483,7/12/1990,127,6.9,1381,
Aladdin,Animation,16.357419,28,504,476,11/25/1992,90,7.4,3495,Aladdin Collection
Rio 2,Animation,8.18534,103,500,397,3/19/2014,102,6.3,997,Rio Collection
The Boss Baby,Animation,13.392824,125,499,374,3/23/2017,97,6.1,2336,
Troy,Adventure,15.387275,175,497,322,5/13/2004,163,6.9,2841,
Toy Story 2,Animation,17.547693,90,497,407,10/30/1999,92,7.3,3914,Toy Story Collection
How to Train Your Dragon,Fantasy,14.416681,165,495,330,3/5/2010,98,7.5,4319,How to Train Your Dragon Collection
Twister,Action,8.739144,92,494,402,5/10/1996,113,6.1,966,
Oz: The Great and Powerful,Fantasy,11.137329,200,492,292,3/7/2013,130,5.7,3576,
Rio,Animation,10.403228,90,485,395,4/3/2011,96,6.5,2213,Rio Collection
Bruce Almighty,Fantasy,15.947524,80,485,405,5/23/2003,101,6.4,3121,Almighty Collection
Shrek,Adventure,17.987728,60,484,424,5/16/2001,90,7.3,4183,Shrek Collection
Rise of the Planet of the Apes,Thriller,41.613762,93,483,390,8/3/2011,105,7,4452,Planet of the Apes (Reboot) Collection
Saving Private Ryan,Drama,21.758054,70,482,412,7/24/1998,169,7.9,5148,
Mr. & Mrs. Smith,Action,15.724373,110,478,368,6/7/2005,120,6.5,3048,
Teenage Mutant Ninja Turtles,Science Fiction,22.337973,125,477,352,8/7/2014,101,5.8,2677,Teenage Mutant Ninja Turtles (Remake) Collection
Home Alone,Comedy,0.702543,18,477,459,11/9/1990,103,7.1,2487,Home Alone Collection
Charlie and the Chocolate Factory,Adventure,22.038405,150,475,325,7/13/2005,115,6.7,3759,
Indiana Jones and the Last Crusade,Adventure,14.788987,48,474,426,5/24/1989,127,7.6,3221,Indiana Jones Collection
Hotel Transylvania 2,Animation,11.760218,80,473,393,9/21/2015,89,6.7,1528,Hotel Transylvania Collection
Wreck-It Ralph,Family,13.697597,165,471,306,11/1/2012,108,7.1,4656,Wreck-It Ralph Collection
Jaws,Horror,19.726114,7,471,464,6/18/1975,124,7.5,2628,The Jaws Collection
San Andreas,Action,20.547925,110,470,360,5/27/2015,114,6,3017,
The Lego Movie,Adventure,16.418133,60,469,409,2/6/2014,100,7.5,3127,The Lego Movie Collection
Star Trek Into Darkness,Action,15.78129,190,467,277,5/5/2013,132,7.4,4479,Star Trek: Alternate Reality Collection
The Matrix,Action,33.366332,63,464,401,3/30/1999,136,7.9,9079,The Matrix Collection
Pretty Woman,Romance,13.348451,14,463,449,3/23/1990,119,7,1807,
Cars,Animation,18.907948,120,462,342,6/8/2006,117,6.6,3991,Cars Collection
X-Men: The Last Stand,Adventure,0.867943,210,459,249,5/24/2006,104,6.3,3581,X-Men Collection
The Hangover,Comedy,23.947351,35,459,424,6/5/2009,100,7.2,6324,The Hangover Collection
Gladiator,Action,23.186667,103,458,355,5/1/2000,155,7.9,5566,
Mission: Impossible,Adventure,15.793477,80,458,378,5/22/1996,110,6.7,2677,Mission: Impossible Collection
The Last Samurai,Drama,19.582325,140,457,317,12/5/2003,154,7.3,1946,
National Treasure: Book of Secrets,Action,12.854373,130,457,327,12/13/2007,124,6.1,1782,National Treasure Collection
Ocean's Eleven,Thriller,12.114932,85,451,366,12/7/2001,116,7.2,3857,"name': ""Ocean's Collection"", "
Thor,Adventure,29.158489,150,449,299,4/21/2011,115,6.6,6678,Thor Collection
Pearl Harbor,History,11.419388,140,449,309,5/21/2001,183,6.6,1833,
Tarzan,Adventure,12.453452,150,448,298,6/18/1999,88,7.1,1715,Tarzan (Animation) Collection
La La Land,Comedy,19.681686,30,445,415,11/29/2016,128,7.9,4745,
Alvin and the Chipmunks: The Squeakquel,Comedy,9.909961,75,443,368,12/21/2009,88,5.3,688,Alvin and the Chipmunks Collection
The Bourne Ultimatum,Action,18.173269,70,443,373,8/3/2007,115,7.3,2938,The Bourne Collection
Men in Black II,Action,16.775716,140,442,302,7/3/2002,88,6.1,3188,Men In Black Collection
Les MisÃ©rables,Drama,13.52408,61,442,381,12/18/2012,157,7.2,1925,
Terminator Genisys,Science Fiction,30.188198,155,441,286,6/23/2015,126,5.8,3677,The Terminator Collection
Mrs. Doubtfire,Comedy,11.16553,25,441,416,11/24/1993,125,7,1638,
The Exorcist,Drama,12.137595,8,441,433,12/26/1973,122,7.5,2046,The Exorcist Collection
Terminator 3: Rise of the Machines,Action,20.818907,200,435,235,7/2/2003,109,5.9,2177,The Terminator Collection
Warcraft,Action,12.572718,160,434,274,5/25/2016,123,6.3,2325,
The Mummy Returns,Adventure,16.945657,98,433,335,4/28/2001,130,6,2258,The Mummy Collection
Die Another Day,Adventure,12.996474,140,432,292,11/17/2002,133,5.8,1112,James Bond Collection
Cast Away,Adventure,21.296343,90,430,340,12/22/2000,143,7.5,3304,
The Intouchables,Drama,16.086919,13,426,413,11/2/2011,112,8.2,5410,
The Matrix Revolutions,Adventure,15.368205,150,425,275,11/5/2003,129,6.4,3155,The Matrix Collection
Django Unchained,Drama,19.785025,100,425,325,12/25/2012,165,7.8,10297,
Dances with Wolves,Adventure,11.654349,22,424,402,11/9/1990,181,7.6,1084,
300,Action,18.108408,65,423,358,12/9/2006,117,7,5092,300 Collection
The Chronicles of Narnia: Prince Caspian,Adventure,12.490891,225,420,195,5/15/2008,150,6.3,1668,The Chronicles of Narnia Collection
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,12.383398,155,416,261,8/13/2010,113,6.2,1555,The Chronicles of Narnia Collection
The Mummy,Adventure,23.984065,80,416,336,4/16/1999,124,6.6,2796,The Mummy Collection
The Wolverine,Action,3.918287,120,415,295,7/23/2013,126,6.3,4110,The Wolverine Collection
Jason Bourne,Action,19.133256,120,415,295,7/27/2016,123,5.9,2386,The Bourne Collection
Sex and the City,Comedy,9.170332,65,415,350,5/12/2008,145,6,525,Sex and the City Collection
Kingsman: The Secret Service,Crime,28.224212,81,414,333,1/29/2015,130,7.6,6069,Kingsman Collection
The King's Speech,Drama,11.260387,15,414,399,9/6/2010,118,7.6,2817,
Night at the Museum: Battle of the Smithsonian,Adventure,15.417181,150,413,263,5/20/2009,105,5.9,2026,Night at the Museum Collection
Rain Man,Drama,11.267467,25,413,388,12/11/1988,133,7.6,1762,
Batman,Fantasy,19.10673,35,411,376,6/23/1989,126,7,2145,Batman Collection
The Bodyguard,Thriller,9.805017,25,411,386,11/25/1992,129,6.2,681,
Ice Age: Collision Course,Adventure,20.151037,105,409,304,6/23/2016,100,5.6,1170,Ice Age Collection
Pacific Rim,Action,33.949359,180,408,228,7/11/2013,131,6.7,4903,Pacific Rim Collection
The Mummy,Thriller,33.704935,125,408,283,6/6/2017,110,5.4,2122,
X2,Adventure,0.913096,110,408,298,4/24/2003,133,6.8,3572,X-Men Collection
Signs,Drama,11.211568,72,408,336,8/2/2002,106,6.4,1624,
Prometheus,Science Fiction,16.624854,130,403,273,5/30/2012,124,6.3,5152,Prometheus Collection
The Mummy: Tomb of the Dragon Emperor,Adventure,14.250227,145,401,256,7/1/2008,112,5.2,1418,The Mummy Collection
TRON: Legacy,Adventure,21.259,170,400,230,12/10/2010,125,6.3,2895,TRON Collection
Gone with the Wind,Drama,14.240357,4,400,396,12/15/1939,238,7.7,995,
Mission: Impossible III,Adventure,15.687983,150,398,248,5/3/2006,126,6.5,2062,Mission: Impossible Collection
Snow White and the Huntsman,Adventure,18.751554,170,397,227,5/30/2012,127,5.8,3183,The Huntsman Collection
Twilight,Adventure,31.282029,37,393,356,11/20/2008,122,5.8,3688,The Twilight Collection
The Wolf of Wall Street,Crime,16.382422,100,392,292,12/25/2013,180,7.9,6768,
Superman Returns,Adventure,13.284712,270,391,121,6/28/2006,154,5.4,1429,Superman Collection
Independence Day: Resurgence,Action,16.993841,165,390,225,6/22/2016,120,4.9,2550,Independence Day Collection
Robin Hood: Prince of Thieves,Adventure,10.639244,48,390,342,6/14/1991,143,6.6,937,
Raiders of the Lost Ark,Adventure,19.901576,18,390,372,6/12/1981,115,7.7,3949,Indiana Jones Collection
Star Trek,Science Fiction,15.362632,150,386,236,5/6/2009,127,7.4,4574,Star Trek: Alternate Reality Collection
Monster Hunt,Action,5.361771,40,385,345,7/16/2015,111,5.7,81,
Live Free or Die Hard,Action,14.886039,110,384,274,6/20/2007,128,6.4,2122,Die Hard Collection
Happy Feet,Animation,15.088318,100,384,284,11/16/2006,108,5.9,1457,Happy Feet Collection
Ice Age,Animation,17.328902,59,383,324,3/10/2002,81,7.1,3954,Ice Age Collection
Monsters vs Aliens,Animation,14.243634,175,382,207,3/19/2009,94,6,1464,
Back to the Future,Adventure,25.778509,19,381,362,7/3/1985,116,8,6239,Back to the Future Collection
Mad Max: Fury Road,Action,29.36178,150,379,229,5/13/2015,120,7.3,9629,Mad Max Collection
Godzilla,Science Fiction,11.295121,130,379,249,5/20/1998,139,5.3,1075,
True Lies,Action,11.396099,115,379,264,7/14/1994,141,6.8,1138,
Fifty Shades Darker,Drama,29.130443,55,379,324,2/8/2017,118,6,2341,Fifty Shades Collection
Slumdog Millionaire,Drama,11.258181,15,378,363,5/12/2008,120,7.6,2918,
Beauty and the Beast,Romance,23.433511,25,377,352,11/13/1991,84,7.5,3029,Beauty and the Beast Collection
Taken 2,Action,16.376482,45,376,331,9/27/2012,91,6.1,2783,Taken Collection
Batman Begins,Action,28.505341,150,374,224,6/10/2005,140,7.5,7511,The Dark Knight Collection
Penguins of Madagascar,Family,22.201607,132,374,242,11/22/2014,92,6.5,1375,Madagascar Collection
What Women Want,Comedy,9.963079,70,374,304,12/15/2000,127,6.1,1021,
Toy Story,Animation,21.946943,30,374,344,10/30/1995,81,7.7,5415,Toy Story Collection
X-Men Origins: Wolverine,Adventure,1.456541,150,373,223,4/28/2009,107,6.2,4086,The Wolverine Collection
The Golden Compass,Adventure,11.481379,180,372,192,12/4/2007,113,5.8,1347,
G.I. Joe: Retaliation,Adventure,10.560608,130,372,242,3/26/2013,110,5.4,3045,G.I. Joe (Live-Action) Collection
The Adventures of Tintin,Adventure,19.201504,130,372,242,10/25/2011,107,6.7,2095,
Terminator Salvation,Action,16.507496,200,371,171,5/20/2009,115,5.9,2496,The Terminator Collection
Edge of Tomorrow,Action,31.982986,178,371,193,5/27/2014,113,7.6,4979,
Captain America: The First Avenger,Action,19.323582,140,371,231,7/22/2011,124,6.6,7174,Captain America Collection
War for the Planet of the Apes,Drama,146.161786,152,370,218,7/11/2017,140,6.7,1675,Planet of the Apes (Reboot) Collection
There's Something About Mary,Romance,11.688958,23,370,347,7/15/1998,119,6.5,1616,
Home,Fantasy,13.422713,135,369,234,3/18/2015,94,6.8,1539,
Jurassic Park III,Adventure,0.648867,93,369,276,7/18/2001,92,5.7,2109,Jurassic Park Collection
Gone Girl,Mystery,154.801009,61,369,308,10/1/2014,145,7.9,6023,
The Fugitive,Adventure,10.08937,44,369,325,8/6/1993,130,7.2,1240,The Fugitive / U.S. Marshals Collection
